CustomerID,Recency,Frequency,Monetary,Cluster,CustomerType
12747,3,103,4196.01,0,large
12748,1,4595,33719.73,0,large
12749,4,199,4090.88,0,large
12820,4,59,942.34,0,large
12826,3,91,1474.72,0,large
12828,3,56,1018.71,0,large
12839,3,314,5591.42,0,large
12841,5,420,4022.35,0,large
12856,8,314,2179.93,0,large
12867,27,538,4036.82,0,large
12877,4,154,1535.77,0,large
12901,9,116,17654.54,0,large
12906,12,63,2919.81,0,large
12910,24,75,3075.04,0,large
12912,3,24,1662.3,0,large
12913,5,50,2483.63,0,large
12919,9,50,1335.19,0,large
12921,10,720,16587.09,0,large
12925,5,45,694.05,0,large
12931,22,82,42055.96,0,large
12935,3,129,2160.7,0,large
12937,16,120,1504.27,0,large
12948,17,116,2064.95,0,large
12949,31,215,4167.22,0,large
12950,3,23,1843.0,0,large
12951,9,63,1064.07,0,large
12952,6,79,1387.79,0,large
12955,2,180,4757.16,0,large
12957,10,238,4017.54,0,large
12963,9,95,1856.63,0,large
12970,8,151,452.24,0,large
12971,4,305,11189.91,0,large
12985,1,76,1239.38,0,large
12989,4,64,6924.11,0,large
12994,5,61,974.42,0,large
13001,5,339,9818.82,0,large
13004,12,404,5655.91,0,large
13012,10,89,1661.84,0,large
13013,2,219,4810.94,0,large
13014,11,109,3466.28,0,large
13018,17,458,7277.7,0,large
13021,5,131,2616.38,0,large
13026,2,40,975.36,0,large
13030,12,99,799.48,0,large
13047,32,172,3237.54,0,large
13048,15,136,1835.91,0,large
13050,15,403,5836.86,0,large
13069,1,425,4436.12,0,large
13077,2,112,729.27,0,large
13078,4,358,12627.94,0,large
13081,12,1024,28337.38,0,large
13089,3,1818,58825.83,0,large
13090,9,155,8910.82,0,large
13097,33,423,6010.42,0,large
13098,2,572,28882.44,0,large
13102,2,304,6424.09,0,large
13104,4,20,1098.48,0,large
13113,1,200,12245.96,0,large
13115,12,120,2294.78,0,large
13126,5,140,2099.64,0,large
13137,11,704,3650.41,0,large
13139,17,170,5064.94,0,large
13148,30,319,3707.12,0,large
13149,15,86,1676.06,0,large
13159,9,121,1437.85,0,large
