CustomerID,Recency,Frequency,Monetary,Cluster,CustomerType
12821,215,6,92.72,1,small
12823,75,5,1759.5,1,small
12829,337,11,293.0,1,small
12831,263,9,215.05,1,small
12833,146,24,417.38,1,small
12834,283,18,312.38,1,small
12837,174,12,134.1,1,small
12845,268,27,354.09,1,small
12851,97,50,135.18,1,small
12852,295,17,311.55,1,small
12855,373,3,38.1,1,small
12863,53,5,521.2,1,small
12864,139,3,147.12,1,small
12871,85,11,380.64,1,small
12873,283,4,374.0,1,small
12875,144,2,343.23,1,small
12879,45,10,573.22,1,small
12881,276,7,298.0,1,small
12884,89,7,309.05,1,small
12888,215,5,354.12,1,small
12891,186,3,331.0,1,small
12897,205,4,216.5,1,small
12902,265,10,138.68,1,small
12908,177,2,750.0,1,small
12915,149,22,363.65,1,small
12917,129,2,594.0,1,small
12922,162,28,405.38,1,small
12923,65,29,176.97,1,small
12929,312,8,117.85,1,small
12938,26,9,114.14,1,small
12945,289,23,462.95,1,small
12956,307,19,108.07,1,small
12966,10,10,160.18,1,small
12967,359,19,1660.9,1,small
12968,113,5,135.95,1,small
12974,198,8,144.8,1,small
12976,212,22,738.6,1,small
12977,157,9,39.24,1,small
12982,243,28,390.54,1,small
12984,19,4,97.5,1,small
12990,32,13,409.5,1,small
12995,86,3,211.32,1,small
12999,197,28,455.88,1,small
13002,319,7,120.95,1,small
13003,106,6,149.05,1,small
13005,174,26,513.7,1,small
13006,57,4,81.57,1,small
13008,324,14,229.47,1,small
13011,373,3,50.55,1,small
13017,8,1,204.0,1,small
13033,358,11,190.55,1,small
13043,274,13,516.42,1,small
13044,292,33,560.47,1,small
13045,100,18,305.28,1,small
13049,65,14,656.68,1,small
13052,213,18,348.15,1,small
13058,25,8,271.4,1,small
13059,250,8,183.4,1,small
13060,254,15,307.53,1,small
13061,73,10,248.61,1,small
13062,192,11,346.98,1,small
13065,374,14,205.86,1,small
13067,83,15,115.46,1,small
13068,11,2,344.0,1,small
13070,193,9,228.8,1,small
13072,267,7,177.15,1,small
13079,5,6,220.1,1,small
13080,180,6,58.08,1,small
13085,158,22,416.08,1,small
13095,71,6,74.4,1,small
13099,100,1,207.36,1,small
13101,235,8,101.19,1,small
13103,40,8,243.94,1,small
13106,134,1,76.5,1,small
13108,373,10,350.06,1,small
13120,239,1,30.6,1,small
13121,270,50,283.73,1,small
13127,78,15,259.17,1,small
13130,95,2,64.0,1,small
13132,262,3,77.3,1,small
13133,274,7,109.8,1,small
13135,197,1,3096.0,1,small
13144,333,3,110.95,1,small
13145,40,6,618.52,1,small
13146,27,17,228.91,1,small
13147,11,4,712.8,1,small
13160,23,4,91.8,1,small
13161,314,8,112.75,1,small
13166,284,41,417.2,1,small
13169,64,13,712.88,1,small
13170,27,32,116.01,1,small
13177,65,17,282.45,1,small
13182,46,11,121.18,1,small
13185,268,1,71.4,1,small
13187,338,37,236.02,1,small
13188,12,2,114.6,1,small
13193,62,29,117.88,1,small
13194,136,3,60.7,1,small
13207,16,8,250.26,1,small
13210,94,22,353.48,1,small
13216,268,5,333.74,1,small
13217,123,4,533.98,1,small
13218,128,5,62.64,1,small
13223,201,5,163.2,1,small
13226,274,16,108.21,1,small
13227,202,9,257.7,1,small
13228,82,2,358.0,1,small
13229,226,10,160.95,1,small
13239,262,21,329.56,1,small
13242,113,13,270.4,1,small
13244,93,27,121.74,1,small
13245,51,16,430.5,1,small
13248,125,26,465.68,1,small
13260,62,8,557.62,1,small
13261,269,9,944.1,1,small
13262,264,11,200.29,1,small
13270,367,1,590.0,1,small
13272,32,15,276.56,1,small
13273,114,16,138.98,1,small
13277,16,8,258.4,1,small
13279,79,9,137.75,1,small
13283,60,7,93.66,1,small
13284,331,13,201.19,1,small
13295,360,10,201.2,1,small
13296,138,5,87.4,1,small
13298,2,2,360.0,1,small
13299,269,5,142.5,1,small
13300,170,20,371.89,1,small
13302,156,1,63.75,1,small
13304,352,21,300.42,1,small
13307,121,1,15.0,1,small
13321,73,11,567.36,1,small
13325,82,12,675.3,1,small
13328,317,17,1308.48,1,small
13338,158,19,487.02,1,small
13343,178,19,353.43,1,small
13345,288,20,389.5,1,small
13347,71,8,341.36,1,small
13348,65,14,233.76,1,small
13351,67,16,373.94,1,small
13358,269,29,439.03,1,small
13364,72,10,134.96,1,small
13366,51,1,56.16,1,small
13368,257,29,623.4,1,small
13369,366,14,308.28,1,small
13370,372,39,754.87,1,small
13372,90,23,378.64,1,small
13382,281,15,222.99,1,small
13385,330,35,534.57,1,small
13390,75,13,544.08,1,small
13391,204,1,59.8,1,small
13395,186,21,307.72,1,small
13398,193,26,457.34,1,small
13403,18,3,75.0,1,small
13411,108,18,213.55,1,small
13419,64,16,221.06,1,small
13420,150,8,159.85,1,small
13434,75,10,534.24,1,small
13439,256,54,283.71,1,small
13441,92,13,296.64,1,small
13452,260,2,590.0,1,small
13453,166,17,356.98,1,small
13460,30,17,183.44,1,small
13462,253,9,151.5,1,small
13466,185,17,307.9,1,small
13470,100,10,165.0,1,small
13474,237,64,229.59,1,small
13479,201,15,300.95,1,small
13482,233,11,184.64,1,small
13483,66,10,140.34,1,small
13484,242,8,313.8,1,small
13485,234,23,454.24,1,small
13489,106,14,449.52,1,small
13494,312,18,316.26,1,small
13497,283,19,348.05,1,small
13503,72,17,216.85,1,small
13504,65,22,295.93,1,small
13506,317,26,458.52,1,small
13508,244,12,110.97,1,small
13512,261,15,251.21,1,small
13513,127,10,205.1,1,small
13514,74,4,152.2,1,small
13519,79,8,122.75,1,small
13522,31,5,125.8,1,small
13525,15,6,628.78,1,small
13529,79,15,307.76,1,small
13531,206,22,483.8,1,small
13551,320,4,91.8,1,small
13561,216,14,141.86,1,small
13568,174,44,192.85,1,small
13570,244,27,239.49,1,small
13581,310,10,118.0,1,small
13584,307,24,142.4,1,small
13587,64,8,712.4,1,small
13592,36,16,247.96,1,small
13600,313,19,219.52,1,small
13615,319,23,417.69,1,small
13618,174,13,177.34,1,small
13621,117,19,213.85,1,small
13626,253,19,257.23,1,small
13638,16,8,122.64,1,small
13645,121,5,252.1,1,small
13649,257,23,346.6,1,small
13651,36,6,94.2,1,small
13663,180,13,189.47,1,small
13666,61,12,84.65,1,small
13669,51,9,218.55,1,small
13670,76,25,349.7,1,small
13672,302,6,186.39,1,small
13675,152,25,486.82,1,small
13678,152,16,232.6,1,small
13682,188,3,59.5,1,small
13684,286,30,67.23,1,small
13686,183,8,72.0,1,small
13689,64,6,910.0,1,small
13690,60,9,172.25,1,small
13697,39,12,151.3,1,small
13699,156,14,308.58,1,small
13703,319,1,99.5,1,small
13706,303,20,330.79,1,small
13708,272,51,296.88,1,small
13710,32,8,180.48,1,small
13711,219,13,252.06,1,small
13712,247,10,228.84,1,small
13716,270,21,138.28,1,small
13718,247,12,306.55,1,small
13723,218,6,199.85,1,small
13737,201,30,339.6,1,small
13739,19,3,216.9,1,small
13740,241,23,350.75,1,small
13745,163,25,300.04,1,small
13747,374,1,79.6,1,small
13751,289,9,296.25,1,small
13754,152,12,282.6,1,small
13762,219,7,306.72,1,small
13774,82,22,345.0,1,small
13778,104,9,178.7,1,small
13781,251,17,127.84,1,small
13786,368,7,230.4,1,small
13791,128,11,1516.0,1,small
13792,67,13,195.55,1,small
13800,310,33,558.32,1,small
13801,67,23,324.8,1,small
13803,256,17,277.07,1,small
13806,64,10,256.38,1,small
13807,368,7,112.6,1,small
13826,177,10,189.5,1,small
13828,23,15,209.49,1,small
13832,20,3,52.2,1,small
13833,160,29,384.8,1,small
13837,212,19,271.24,1,small
13841,253,1,85.0,1,small
13845,65,9,312.98,1,small
13848,93,5,1255.0,1,small
13856,169,14,388.5,1,small
13858,58,11,216.17,1,small
13859,327,28,201.16,1,small
13863,248,20,305.78,1,small
13866,75,7,145.67,1,small
13873,120,23,389.6,1,small
13874,359,18,540.45,1,small
13876,64,7,122.7,1,small
13877,87,3,117.24,1,small
13885,190,28,506.8,1,small
13886,72,16,243.56,1,small
